Ordem;NroProcessoPI;Titular;CNPJ-Titular;CNPJ(ID Alternativo);IFES titular;Qtde de empregados;Natureza do Titular;Tipo do Titular;Tamanho do Titular;Esfera;Região;Seção;Descr.Seção;Divisão;Descr.Divisão;Ano requerimento;Ano 1º TT
73;BR1020180733524;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2018;Não TT
74;BR1020190145099;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2019;Não TT
75;BR1020190277572;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2019;Não TT
76;BR1020190277688;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2019;Não TT
77;BR1020190279320;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2019;Não TT
78;BR5120130001315;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2013;Não TT
79;BR5120140011631;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;Não TT
80;BR5120150001590;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2015;Não TT
81;BR5120170009384;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2017;Não TT
82;BR5120190019555;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2019;Não TT
83;BR5120190016645;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2019;Não TT
84;BR5120190021517;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2019;Não TT
85;BR5120200014984;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2020;Não TT
86;840859031;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2015;Não TT
87;840859040;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2015;Não TT
88;1020130074551;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2013;Não TT
89;1020130129348;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2013;Não TT
90;9045155;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2009;Não TT
91;1020180733460;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2018;Não TT
92;1020180733524;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2018;Não TT
93;1020140231102;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;Não TT
94;11073039;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2011;Não TT
95;1020160267153;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
96;1020160279585;FURG;94.877.586/0001-10;FURG;FURG;Universidade;Pública;Universidade;Não se aplica;Federal;Sul;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
97;BR1020130014532;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2013;Não TT
98;BR1020130288144;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2013;Não TT
99;BR2020130288158;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2013;Não TT
100;BR1020140191259;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;Não TT
101;BR1020160231566;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2016;Não TT
102;BR1020140272712;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;Não TT
103;BR1020130014567;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2013;Não TT
104;BR1020130311766;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2013;Não TT
105;BR1020140096990;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;2018
106;BR1020140133011;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;Não TT
107;BR1020140272720;UFABC;07.722.779/0001-06;UFABC;UFABC;Universidade;Pública;Universidade;Não se aplica;Federal;Sudeste;P;EDUCAÇÃO;85;EDUCAÇÃO;2014;Não TT
